#0_step_0,#0_step_1
-78.411354,-79.254295
-78.41514,-79.25575
-78.4189,-79.25718
-78.42261,-79.25859
-78.426285,-79.25999
-78.42993,-79.26137
-78.43355,-79.26272
-78.43712,-79.26406
-78.44067,-79.26539
-78.444176,-79.2667
-78.447655,-79.268
-78.451096,-79.26928
-78.45451,-79.27055
-78.45789,-79.27181
-78.46124,-79.273056
-78.464554,-79.27429
-78.46784,-79.27552
-78.47109,-79.27673
-78.47432,-79.27793
-78.47752,-79.27913
-78.48068,-79.2803
-78.483826,-79.28148
-78.48692,-79.28264
-78.490005,-79.28378
-78.49305,-79.28493
-78.49607,-79.28606
-78.49907,-79.28718
-78.50203,-79.28829
-78.50497,-79.28939
-78.50788,-79.29049
-78.510765,-79.29158
-78.513626,-79.29265
-78.51646,-79.293724
-78.519264,-79.294785
-78.52205,-79.295845
-78.524796,-79.29689
-78.52753,-79.29793
-78.53023,-79.29896
-78.53291,-79.29997
-78.53557,-79.30099
-78.53819,-79.302
-78.5408,-79.30299
-78.54339,-79.30399
-78.545944,-79.30498
-78.548485,-79.305954
-78.551,-79.30693
-78.5535,-79.307884
-78.55597,-79.308846
-78.55842,-79.30979
-78.56084,-79.310745
-78.56325,-79.31167
-78.56563,-79.3126
-78.567986,-79.31394
-78.570335,-79.31539
-78.57265,-79.31686
-78.57495,-79.31842
-78.577225,-79.32001
-78.57948,-79.32194
-78.581726,-79.323975
-78.58395,-79.326355
-78.58614,-79.32898
-78.588326,-79.331764
-78.59049,-79.33491
-78.592636,-79.33867
-78.59474,-79.34361
-78.596855,-79.349945
-78.59894,-79.35774
-78.601006,-79.36647
-78.603065,-79.37663
-78.60509,-79.38782
-78.6071,-79.4009
-78.60909,-79.4156
-78.61107,-79.43197
-78.61304,-79.45048
-78.61499,-79.46974
-78.616905,-79.48973
-78.61882,-79.509926
-78.62071,-79.5301
-78.6226,-79.55061
-78.62445,-79.57064
-78.6263,-79.58989
-78.04616,-79.608345
-78.08173,-79.62591
-78.182724,-79.18914
-78.27583,-79.25702
-78.35266,-79.35898
-78.41457,-79.446465
-78.46412,-79.51701
-78.50361,-79.57359
-75.537704,-79.61864
-74.564835,-79.65483
-74.81325,-79.275215
-72.89586,-78.0593
-72.057655,-78.27383
-72.05989,-78.59491
-68.654945,-78.18563
-61.477184,-78.50498
-56.013966,-78.28758
-55.163216,-77.300705
-55.142677,-77.34572
-51.9701,-77.58712
-46.875965,-76.858925
-43.792305,-76.450165
-38.939686,-75.75348
-36.393555,-75.263535
-34.95746,-73.2613
-33.151432,-72.47668
-33.34693,-71.87962
-33.594826,-71.91817
-32.386044,-71.80003
-31.086603,-71.59973
-28.958363,-71.77916
-27.392796,-70.92445
-27.047352,-69.01691
-25.094234,-67.097565
-25.395935,-66.43822
-22.968828,-66.54784
-21.924503,-67.040016
-22.248676,-65.38028
-24.580908,-64.376076
-23.461605,-64.33875
-23.992231,-64.92641
-23.434565,-64.26384
-23.587872,-65.274124
-24.272089,-65.28279
-25.07729,-66.649
-25.098286,-65.69999
-26.94097,-66.25944
-26.535717,-66.36147
-23.821722,-66.37586
-24.795727,-67.33919
-23.40206,-68.55143
-20.911196,-68.82363
-20.677328,-69.45543
-20.179974,-70.16071
-19.819447,-70.01542
-21.574537,-70.88082
-23.34998,-71.621506
-21.369953,-72.34618
-18.976587,-73.41481
-18.323727,-74.435814
-18.42368,-74.75089
-18.314245,-74.79564
-19.521887,-75.05101
-17.238699,-75.05069
-17.946083,-75.22611
-17.324354,-75.87112
-18.829327,-75.93139
-17.941929,-76.698685
-20.771454,-77.3549
-20.907194,-77.45408
-21.804373,-77.64799
-23.71956,-77.505295
-24.623333,-77.616165
-24.078434,-77.7646
-24.928625,-77.88053
-26.169617,-77.09387
-28.021173,-75.86366
-29.096996,-74.281105
-31.221863,-73.835434
-33.202698,-74.34271
-33.31243,-74.45117
-35.98462,-72.06166
-38.45291,-70.576256
-39.522007,-71.06915
-41.801353,-67.07416
-43.791862,-64.00215
-46.029045,-63.17559
-48.443176,-60.28526
-49.918674,-59.61664
-51.605457,-58.605427
-53.946156,-56.306084
-56.153576,-55.004627
-59.435566,-51.903698
-62.506733,-49.520416
-63.578087,-47.123577
-65.52098,-48.383617
-66.280136,-44.48807
-67.97735,-40.594456
-69.69607,-39.888283
-69.81627,-38.91465
-70.59969,-39.5389
-71.856606,-37.948456
-73.00578,-36.953594
-73.98345,-36.30697
-74.79701,-35.07732
-75.465515,-32.67782
-76.00973,-33.476696
-76.44954,-34.523613
-76.09297,-35.37359
-76.40588,-35.023903
-76.74619,-36.27207
-77.03481,-38.20586
-77.26888,-38.909416
-77.45619,-40.447945
-77.60499,-41.961384
-77.72257,-44.919914
-77.815025,-45.494095
-77.88736,-47.45674
-77.94371,-48.70719
-77.98732,-48.692104
-78.020935,-51.394432
-78.04658,-54.26753
-78.06593,-56.326893
-78.08037,-59.177906
-78.09101,-60.586987
-78.09865,-62.39321
-78.103966,-64.41564
-78.10751,-64.63135
-78.10966,-66.1103
-78.11076,-67.623474
-78.11106,-69.13228
-78.11093,-71.059906
-78.1104,-72.72038
-78.10959,-74.10069
-78.108665,-74.918076
-78.10775,-74.8518
-78.10677,-75.661934
-78.105835,-76.439476
-78.10492,-75.89482
-78.10418,-76.5598
-78.10365,-77.168785
-78.10329,-77.67016
-78.103165,-78.076584
-78.10332,-78.40374
-78.10369,-78.66587
-78.104324,-78.875206
-78.10521,-79.04199
-78.10633,-79.17464
-78.10772,-79.279976
-78.10931,-79.36353
-78.111176,-79.42975
-78.113235,-79.48216
-78.1155,-79.52362
-78.11803,-79.55638
-78.12077,-79.58223
-78.123695,-79.6026
-78.12683,-79.61862
-78.13015,-79.63118
-78.13369,-79.64098
-78.13739,-79.64859
-78.14127,-79.654465
-78.14529,-79.658936
-78.14945,-79.66228
-78.15376,-79.66474
-78.15822,-79.666466
-78.16282,-79.6676
-78.16754,-79.668274
-78.172386,-79.66856
-78.17735,-79.668526
-78.18245,-79.66823
-78.187645,-79.66771
-78.19295,-79.66702
-78.19836,-79.66618
-78.20387,-79.66521
-78.20948,-79.66412
-78.215195,-79.66295
-78.22099,-79.6617
-78.22687,-79.66036
-78.232834,-79.65897
-78.23887,-79.65753
-78.24498,-79.65603
-78.251144,-79.65449
-78.25738,-79.65291
-78.26367,-79.651405
-78.27003,-79.64988
-78.27643,-79.64833
-78.282875,-79.64673
-78.289375,-79.645134
-78.295906,-79.64354
-78.30248,-79.64193
-78.30909,-79.64032
-78.31573,-79.63875
-78.322395,-79.637245
-78.32909,-79.63579
-78.3358,-79.634476
-78.34254,-79.6334
-78.34928,-79.63255
-78.35605,-79.63186
-78.36283,-79.631424
-78.36961,-79.631325
-78.37641,-79.631874
-78.3832,-79.6331
-78.39001,-79.63475
-78.396805,-79.63712
-78.4036,-79.64076
-78.4104,-79.64512
-78.41719,-79.65023
-78.42397,-79.65623
-78.43075,-79.663246
-78.43751,-79.670616
-78.44425,-79.67846
-78.45099,-79.686424
-78.45772,-79.694824
-78.4644,-79.70369
-78.47109,-79.712654
-78.47776,-79.72142
-78.4844,-79.730064
-78.49102,-79.73872
-78.49762,-79.74739
-78.504196,-79.755905
-78.51074,-79.76393
-78.51726,-79.77153
-78.52376,-79.7786
-78.53021,-79.7852
-78.536644,-79.791405
-78.54305,-79.79717
-78.54942,-79.80265
-78.55576,-79.807755
-78.562065,-79.812546
-78.568344,-79.81696
-78.574585,-79.82099
-78.580795,-79.824745
-78.58696,-79.8282
-78.593094,-79.831375
-78.59919,-79.83432
-78.60525,-79.83705
-78.61128,-79.83957
-78.61726,-79.84187
-78.62321,-79.84401
-78.62912,-79.84598
-78.63499,-79.847786
-78.64082,-79.84945
-78.646614,-79.85099
-78.65237,-79.8524
-78.65807,-79.8537
-78.66375,-79.854904
-78.66939,-79.856
-78.67499,-79.85702
-78.68054,-79.857956
-78.68606,-79.85881
-78.69154,-79.85959
-78.696976,-79.86029
-78.70238,-79.86095
-78.70773,-79.86153
-78.71305,-79.86205
-78.71834,-79.86253
-78.72357,-79.86295
-78.728775,-79.86333
-78.73395,-79.863655
-78.73907,-79.86394
-78.744156,-79.864174
-78.74921,-79.86437
-78.75421,-79.86453
-78.75919,-79.86466
-78.76412,-79.86476
-78.76903,-79.864815
-78.77388,-79.86484
-78.77871,-79.86482
-78.7835,-79.86479
-78.78825,-79.86473
-78.79297,-79.864624
-78.79765,-79.86451
-78.80229,-79.864365
-78.806915,-79.86419
-78.81149,-79.864
-78.81603,-79.863785
-78.82054,-79.86354
-78.82502,-79.863266
-78.82947,-79.86299
-78.83388,-79.862686
-78.83824,-79.86236
-78.8426,-79.862015
-78.84691,-79.86165
-78.85118,-79.86127
-78.85543,-79.86086
-78.85965,-79.860435
-78.86384,-79.86001
-78.868,-79.85956
-78.87211,-79.859085
-78.876205,-79.858604
-78.88028,-79.85809
-78.884315,-79.85758
-78.88832,-79.857056
-78.89229,-79.85651
-78.89624,-79.85594
-78.90016,-79.85536
-78.90405,-79.85478
-78.90791,-79.85417
-78.91175,-79.85355
-78.91555,-79.85292
-78.91934,-79.85228
-78.92309,-79.85162
-78.92682,-79.85096
-78.93052,-79.850266
-78.93419,-79.84957
-78.93784,-79.84886
-78.94147,-79.848145
-78.94505,-79.84741
-78.94862,-79.84667
-78.95217,-79.84592
-78.9557,-79.84515
-78.95919,-79.844376
-78.96267,-79.84358
-78.96611,-79.84278
-78.96954,-79.841965
-78.972946,-79.841156
-78.97632,-79.84032
-78.979675,-79.83948
-78.982994,-79.83861
-78.986305,-79.83775
-78.989586,-79.836876
-78.99285,-79.83598
-78.99609,-79.83509
-78.99931,-79.83418
-79.0025,-79.83326
-79.00569,-79.83233
-79.008835,-79.8314
-79.01197,-79.83044
-79.01507,-79.82948
-79.01816,-79.828514
-79.021225,-79.82753
-79.02428,-79.82654
-79.0273,-79.82554
-79.03031,-79.82454
-79.03329,-79.8235
-79.036255,-79.82248
-79.0392,-79.821434
-79.04213,-79.8204
-79.04503,-79.81933
-79.04793,-79.81826
-79.0508,-79.817184
-79.053635,-79.81609
-79.05647,-79.814995
-79.05928,-79.81389
-79.06207,-79.812775
-79.06485,-79.811646
-79.067604,-79.81051
-79.07034,-79.809364
-79.07306,-79.80821
-79.07577,-79.80705
-79.07845,-79.80588
-79.08113,-79.804695
-79.08376,-79.8035
-79.08641,-79.80229
-79.08902,-79.80109
-79.09163,-79.79988
-79.09421,-79.79865
-79.09677,-79.79741
-79.09932,-79.796165
-79.10185,-79.79492
-79.10437,-79.793655
-79.10687,-79.79238
-79.10936,-79.7911
-79.111824,-79.78982
-79.11428,-79.78852
-79.116714,-79.78722
-79.11913,-79.785904
-79.12155,-79.784584
-79.12393,-79.78325
-79.12632,-79.78192
-79.12868,-79.78057
-79.13103,-79.77922
-79.133354,-79.77786
-79.13567,-79.77649
-79.137985,-79.775116
-79.140274,-79.77373
-79.14255,-79.77237
-79.144806,-79.77101
-79.14706,-79.76965
-79.14928,-79.76827
-79.151505,-79.76689
-79.1537,-79.76551
-79.15589,-79.764145
-79.158066,-79.76278
-79.16024,-79.76143
-79.16239,-79.76008
-79.164536,-79.75884
-79.16666,-79.757645
-79.16877,-79.75658
-79.17087,-79.755615
-79.17295,-79.754845
-79.175026,-79.75429
-79.177086,-79.75385
-79.17913,-79.75365
-79.18117,-79.75382
-79.18319,-79.754425
-79.1852,-79.75551
-79.1872,-79.75724
-79.18919,-79.7595
-79.19117,-79.7626
-78.15541,-79.76609
-78.222305,-79.770065
-78.3924,-79.77453
-78.54991,-79.77942
-78.68239,-79.78437
-78.79109,-79.78973
-78.879196,-79.7954
-78.95005,-79.80122
-79.006775,-79.80709
-79.05204,-79.813194
-79.08812,-79.81911
-79.1169,-79.82493
-79.13987,-79.83058
-79.15827,-79.83601
-79.17306,-79.841194
-79.18501,-79.846115
-79.194725,-79.850784
-79.2027,-79.85515
-78.04559,-79.8592
-78.104355,-79.863045
-78.29153,-79.866615
-78.46974,-79.86995
-78.621925,-79.873024
-78.748085,-79.87588
-78.85097,-79.8785
-78.93397,-79.88089
-79.00047,-79.8831
-79.05356,-79.88515
-79.09584,-79.887024
-79.12949,-79.88875
-79.15629,-79.89032
-77.94603,-79.89177
-75.73317,-79.8931
-76.065216,-79.89431
-73.80925,-79.89543
-73.03526,-79.89645
