#0_step_0,#0_step_1
-78.70682,-79.25131
-78.70865,-79.252304
-78.71215,-79.253296
-78.72683,-79.25428
-78.74777,-79.255264
-78.7709,-79.25624
-78.79252,-79.257195
-78.81347,-79.258156
-78.836464,-79.2591
-78.86282,-79.26005
-78.8906,-79.261
-78.9175,-79.261925
-78.943825,-79.262856
-78.97195,-79.26378
-78.999466,-79.264694
-79.02317,-79.26561
-79.04231,-79.26651
-79.056755,-79.26741
-79.067375,-79.26831
-79.07521,-79.2692
-79.08193,-79.27008
-79.087685,-79.270966
-79.094154,-79.271835
-79.10066,-79.272705
-79.10689,-79.27357
-79.1131,-79.274414
-79.11972,-79.27527
-79.12617,-79.27611
-79.13228,-79.27695
-79.13878,-79.27779
-79.14523,-79.27861
-79.151794,-79.279434
-79.158035,-79.28025
-79.165184,-79.28107
-79.17244,-79.281876
-79.17978,-79.28268
-79.186775,-79.28348
-79.193344,-79.28427
-79.19952,-79.28505
-79.2054,-79.285835
-79.21094,-79.28661
-79.21584,-79.28739
-79.22025,-79.288155
-79.22428,-79.28892
-79.22805,-79.28967
-79.23151,-79.29042
-79.234695,-79.29117
-79.237625,-79.29191
-79.2403,-79.29265
-79.242775,-79.29338
-79.245255,-79.29411
-79.24759,-79.29484
-79.24994,-79.29555
-79.25215,-79.296265
-79.254234,-79.296974
-79.256516,-79.297676
-79.25896,-79.29838
-79.26174,-79.29906
-79.26466,-79.29976
-79.268005,-79.300446
-79.27165,-79.301125
-79.27544,-79.301796
-79.27986,-79.30247
-79.28459,-79.30312
-79.291046,-79.303795
-79.298195,-79.30445
-79.30611,-79.3051
-79.315025,-79.30575
-79.32401,-79.3064
-79.333374,-79.307045
-79.34306,-79.30768
-79.35222,-79.308304
-79.36123,-79.30893
-79.36991,-79.309555
-79.37852,-79.310165
-79.38685,-79.31078
-79.39491,-79.3114
-79.40245,-79.312
-79.40938,-79.31261
-79.41573,-77.70061
-79.42165,-77.47847
-78.87557,-77.57683
-78.61943,-77.72903
-78.51725,-76.35213
-78.49622,-75.805786
-78.51231,-73.76282
-78.560524,-72.67796
