#0_step_0,#0_step_1
-64.60008,-47.406013
-64.600845,-47.355743
-64.60159,-47.306206
-64.60231,-47.25842
-64.60304,-47.213387
-64.60374,-47.172153
-64.60441,-47.135693
-64.60508,-47.10495
-64.605705,-47.0808
-64.606346,-47.064056
-64.60697,-47.05542
-64.60756,-47.05552
-64.608154,-47.064873
-64.60872,-47.08387
-64.60927,-47.112797
-64.60982,-47.151817
-64.61034,-47.200977
-64.610855,-47.26017
-64.61135,-47.32921
-64.61183,-47.407753
-64.61229,-47.49537
-64.61275,-47.591534
-64.613174,-47.6957
-64.61361,-47.80722
-64.61401,-47.925495
-64.614395,-48.049923
-64.61479,-48.17994
-64.61515,-48.3151
-64.61549,-48.455
-64.615845,-48.599403
-64.61617,-48.748142
-64.61647,-48.901257
-64.616776,-49.05888
-64.61707,-49.221302
-64.61732,-49.388958
-64.61758,-49.562397
-64.61783,-49.742268
-64.61806,-49.9293
-64.61827,-50.124245
-64.61848,-50.327766
-64.61867,-50.54054
-64.61885,-50.76307
-64.61901,-50.99574
-64.61916,-51.238792
-64.6193,-51.49233
-64.619446,-51.756336
-64.619545,-52.03059
-64.61965,-52.31474
-64.619736,-52.608173
-64.61983,-52.909992
-64.61987,-53.218933
-64.619934,-53.533375
-64.61998,-53.851357
-64.62001,-54.170715
-64.62002,-54.489185
-64.62003,-54.804604
-64.62002,-55.114906
-64.62001,-55.418175
-64.61998,-55.712616
-64.61993,-55.99644
-64.61987,-56.267933
-64.61982,-56.525494
-64.619736,-56.767754
-64.61967,-56.993664
-64.61955,-57.2026
-64.619446,-57.39431
-64.61934,-57.569008
-64.6192,-57.72718
-64.61906,-57.86973
-64.618904,-57.997795
-64.61874,-58.112865
-64.61857,-58.21662
-64.61839,-58.31087
-64.61818,-58.39742
-64.61797,-58.477886
-64.61776,-58.553642
-64.61753,-58.625694
-64.617294,-58.69475
-64.61705,-58.76127
-64.61678,-58.825428
-64.61651,-58.887367
-64.616234,-58.947124
-64.61595,-59.004864
-64.61566,-59.06086
-64.61535,-59.11551
-64.61501,-59.169334
-64.6147,-59.222748
-64.61435,-59.276073
-64.61401,-59.329475
-64.61365,-59.382935
-64.61329,-59.43644
-64.6129,-59.489967
-64.612526,-59.54364
-64.61214,-59.597675
-64.61173,-59.652534
-64.61131,-59.708702
