#0_step_0,#0_step_1
-64.59025,-47.280376
-64.59097,-47.403328
-64.59167,-47.51096
-64.59237,-47.60186
-64.59303,-47.675316
-64.593704,-47.731415
-64.594345,-47.77125
-64.59497,-47.796917
-64.59559,-47.8115
-64.59619,-47.81893
-64.59676,-47.82376
-64.59733,-47.83083
-64.597885,-47.844913
-64.59841,-47.87039
-64.59893,-47.91091
-64.59945,-47.969204
-64.599945,-48.046947
-64.600426,-48.144753
-64.60089,-48.262215
-64.60134,-48.39797
-64.60176,-48.549843
-64.60219,-48.715168
-64.602585,-48.891056
-64.60298,-49.07467
-64.603355,-49.263462
-64.60372,-49.455395
-64.604065,-49.649048
-64.6044,-49.843742
-64.60474,-50.039684
-64.605034,-50.237953
-64.60533,-50.440376
-64.605606,-50.64928
-64.60588,-50.86722
-64.60613,-51.096626
-64.60638,-51.33965
-64.6066,-51.597954
-64.60682,-51.872692
-64.60702,-52.16444
-64.60721,-52.473286
-64.607376,-52.798706
-64.60755,-53.139507
-64.6077,-53.49359
-64.607834,-53.85774
-64.60796,-54.22777
-64.60808,-54.598797
-64.60818,-54.965843
-64.60827,-55.324318
-64.608345,-55.67042
-64.608406,-56.00133
-64.60847,-56.315258
-64.6085,-56.611412
-64.608536,-56.889923
-64.60854,-57.151684
-64.60855,-57.398193
-64.608536,-57.63143
-64.60853,-57.8537
-64.60849,-58.067455
-64.608444,-58.275135
-64.6084,-58.478924
-64.60834,-58.68034
-64.60825,-58.880054
-64.608185,-59.07773
-64.60807,-59.272266
-64.607956,-59.462017
-64.607834,-59.64524
-64.607704,-59.820362
-64.60756,-59.9862
-64.607414,-60.14206
-64.60725,-60.287605
-64.60707,-60.42272
-64.60689,-60.547455
-64.60669,-60.661797
-64.60647,-60.765785
-64.60626,-60.859497
-64.60603,-60.943157
-64.6058,-61.01715
-64.60555,-61.082085
-64.605286,-61.138763
-64.60503,-61.188057
-64.60475,-61.23098
-64.604454,-61.268513
-64.604164,-61.301655
-64.60384,-61.33131
-64.60353,-61.358284
-64.60321,-61.38326
-64.60287,-61.40676
-64.602516,-61.429237
-64.60215,-61.45094
-64.60179,-61.472046
-64.60141,-61.492603
-64.60103,-61.512634
-64.60064,-61.532112
-64.600235,-61.550983
-64.599815,-61.569294
-64.5994,-61.587086
-64.598976,-61.60444
-64.598526,-61.62144
-64.598076,-61.63819
-64.59762,-61.654747
-64.597145,-61.671185
-64.596664,-61.687553
-64.59619,-61.7039
-64.59569,-61.720226
-64.595184,-61.736572
-64.59468,-61.752953
-64.594154,-61.76935
-64.59362,-61.78579
-64.593094,-61.802284
-64.592545,-61.81881
-64.591995,-61.83537
-64.59143,-61.85197
-64.590866,-61.868603
-64.59029,-61.88526
-64.58971,-61.901955
-64.58911,-61.91865
-64.58849,-61.935375
-64.58789,-61.952106
-64.58728,-61.96885
-64.58665,-61.985584
-64.58601,-62.00232
-64.585365,-62.019066
-64.58473,-62.035797
-64.58406,-62.052513
-64.5834,-62.069214
-64.58272,-62.085896
-64.58204,-62.10255
-64.58136,-62.11918
-64.580666,-62.13579
-64.57996,-62.152363
-64.57925,-62.168903
-64.57853,-62.185394
-64.577805,-62.201866
-64.57707,-62.218285
-64.576355,-62.234657
-64.575584,-62.250984
-64.574844,-62.267273
-64.57408,-62.283497
-64.57332,-62.299683
-64.57254,-62.315815
-64.571754,-62.331886
-64.57097,-62.3479
-64.570175,-62.36387
-64.56937,-62.379772
-64.56856,-62.395607
-64.567764,-62.411385
-64.56693,-62.427105
-64.56611,-62.442757
-64.56526,-62.458336
-64.56443,-62.473866
-64.56358,-62.48933
-64.56273,-62.50472
-64.56187,-62.52005
-64.56101,-62.535316
-64.56012,-62.5505
-64.55924,-62.56562
-64.558365,-62.58067
-64.55747,-62.595654
-64.55657,-62.610546
-64.55567,-62.62539
-64.55477,-62.640167
-64.55385,-62.654858
-64.552925,-62.669483
-64.552,-62.68404
-64.55107,-62.698505
-64.55012,-62.712914
-64.54918,-62.727253
-64.54823,-62.74151
-64.547264,-62.7557
-64.54631,-62.7698
-64.54535,-62.783844
-64.54437,-62.797802
-64.543396,-62.811695
-64.542404,-62.825512
-64.54142,-62.839252
-64.54042,-62.852917
-64.53943,-62.866516
-64.53841,-62.880035
-64.537415,-62.893475
-64.53639,-62.906853
-64.53537,-62.920147
-64.53433,-62.93337
-64.53331,-62.946514
-64.53228,-62.959595
-64.53122,-62.972595
-64.530174,-62.985516
-64.52912,-62.998383
-64.52807,-63.011147
-64.527,-63.023865
-64.525925,-63.036507
-64.524864,-63.04906
-64.52379,-63.061546
-64.5227,-63.073963
-64.52161,-63.08631
-64.52053,-63.09858
-64.519424,-63.11078
-64.518326,-63.122906
-64.51723,-63.13495
-64.51611,-63.14695
-64.51499,-63.15885
-64.51387,-63.170696
-64.51274,-63.182465
-64.51162,-63.194164
-64.51049,-63.205788
-64.495735,-63.217354
-64.4896,-63.228832
-64.48629,-63.22666
-64.48433,-63.194866
-64.48307,-63.190132
-64.482216,-63.184303
-64.48161,-63.189354
-64.48116,-63.172974
-64.46605,-63.153484
-64.46043,-63.096
-64.45791,-63.06532
-64.45681,-63.032032
-64.45649,-62.98576
-64.456566,-62.93725
-64.44553,-62.89911
-64.42881,-62.858257
-64.410805,-62.755596
-64.404526,-62.6687
-64.40245,-62.547523
-64.37218,-62.3693
-64.36194,-62.167164
-64.34533,-62.029675
-64.31938,-61.821465
-64.31084,-61.53065
