#0_step_0,#0_step_1
1.8719863e-12,7.447659e-12
1.8132603e-12,7.307776e-12
1.7562191e-12,7.171201e-12
1.7007984e-12,7.0382255e-12
1.6469323e-12,6.909024e-12
1.5945596e-12,6.783686e-12
1.5436229e-12,6.662236e-12
1.4940679e-12,6.544644e-12
1.4458408e-12,6.4308545e-12
1.3988935e-12,6.3207833e-12
1.3531769e-12,6.21433e-12
1.3086462e-12,6.1113822e-12
1.2652585e-12,6.0118204e-12
1.2229735e-12,5.9155276e-12
1.1817516e-12,5.82238e-12
1.141555e-12,5.732257e-12
1.1023484e-12,5.645041e-12
1.0640987e-12,5.5606136e-12
1.0267722e-12,5.478865e-12
9.9034e-13,5.3996885e-12
9.547699e-13,5.32298e-12
9.200369e-13,5.2486396e-12
8.861105e-13,5.1765744e-12
8.5296646e-13,5.106693e-12
8.205797e-13,5.0389103e-12
7.8892654e-13,4.9731426e-12
7.5798406e-13,4.909314e-12
7.2773027e-13,4.8473473e-12
6.9814434e-13,4.787175e-12
6.6920774e-13,4.7287287e-12
6.4089955e-13,4.671943e-12
6.132023e-13,4.6167592e-12
5.860974e-13,4.5631172e-12
5.595677e-13,4.510963e-12
5.335976e-13,4.460242e-12
5.0817033e-13,4.410907e-12
4.832719e-13,4.3629076e-12
4.5888586e-13,4.316199e-12
4.3499983e-13,4.270737e-12
4.1160022e-13,4.226481e-12
3.8867225e-13,4.1833906e-12
3.662054e-13,4.1414272e-12
3.4418632e-13,4.100554e-12
3.226033e-13,4.060738e-12
3.0144566e-13,4.0219442e-12
2.8070203e-13,3.9841403e-12
2.6036175e-13,3.9472965e-12
2.4041617e-13,3.9113825e-12
2.2085347e-13,3.8763706e-12
2.0166518e-13,3.8422347e-12
1.8284107e-13,3.808947e-12
1.6437394e-13,3.7764835e-12
1.4625425e-13,3.9345922e-12
1.2847403e-13,4.0789377e-12
1.1102432e-13,4.2090576e-12
9.389745e-14,4.4805847e-12
7.708681e-14,4.7698174e-12
6.058323e-14,5.2119567e-12
4.438364e-14,5.6643392e-12
2.8477004e-14,6.3584047e-12
1.2858107e-14,7.2324377e-12
-2.4792125e-15,8.17478e-12
-1.7542012e-14,9.343884e-12
-3.2336157e-14,1.0802292e-11
-4.6866147e-14,1.2852168e-11
-6.114062e-14,1.5443665e-11
-7.51621e-14,1.8546397e-11
-8.8938155e-14,2.1894642e-11
-1.0247265e-13,2.5745423e-11
-1.1577096e-13,2.9849016e-11
-1.288394e-13,3.4837327e-11
-1.4168134e-13,4.0472774e-11
-1.543022e-13,4.678292e-11
-1.6670708e-13,5.381756e-11
-1.7889854e-13,6.0793356e-11
-1.9088293e-13,6.809105e-11
-2.0266268e-13,7.5426485e-11
-2.142433e-13,8.276147e-11
-2.2562898e-13,9.064801e-11
-2.368222e-13,9.8210814e-11
-2.4782758e-13,1.0549088e-10
-5.080725e-10,1.1258107e-10
-4.000476e-10,1.1928068e-10
-3.1663389e-10,-2.329426e-10
-2.5032473e-10,-1.2333812e-10
-1.9737431e-10,-5.4819826e-11
-1.552523e-10,-3.3484882e-12
-1.2188757e-10,3.687442e-11
-9.555493e-11,6.869124e-11
-1.6670356e-09,9.364502e-11
-1.8512015e-09,1.1341263e-10
-1.4666236e-09,-3.028377e-10
-1.7127195e-09,-8.2851076e-10
-1.6314872e-09,-4.874451e-10
-1.2494281e-09,-3.1371944e-10
-2.2942117e-09,-5.6685484e-10
-4.421719e-09,-3.2235214e-10
-4.7781312e-09,-5.938083e-10
-3.8659222e-09,-1.3239918e-09
-3.3241694e-09,-1.3075907e-09
-4.4273825e-09,-1.1494884e-09
-5.5936633e-09,-1.2438435e-09
-6.004984e-09,-1.483037e-09
-7.298314e-09,-1.9266102e-09
-7.8684685e-09,-2.27041e-09
-8.44775e-09,-3.1854939e-09
-8.878573e-09,-3.4602856e-09
-8.555407e-09,-3.8397654e-09
-8.336444e-09,-3.7905035e-09
-8.929013e-09,-3.839391e-09
-1.0015587e-08,-3.6765726e-09
-1.1083119e-08,-3.6629646e-09
-1.2251091e-08,-4.4523665e-09
-1.26089486e-08,-5.207272e-09
-1.3392321e-08,-6.1013976e-09
-1.3218161e-08,-6.3600467e-09
-1.4912576e-08,-6.2945453e-09
-1.5410587e-08,-5.920238e-09
-1.5232104e-08,-6.667512e-09
-1.4181731e-08,-6.954474e-09
-1.5962685e-08,-6.4713577e-09
-1.6413177e-08,-5.5994342e-09
-1.7578571e-08,-5.6925438e-09
-1.8021517e-08,-4.909627e-09
-1.8308825e-08,-5.5632334e-09
-1.8043334e-08,-4.8204747e-09
-1.8769173e-08,-5.4731935e-09
-1.8512177e-08,-4.858881e-09
-1.98882e-08,-5.0091593e-09
-2.2249614e-08,-5.135834e-09
-2.110399e-08,-4.8255977e-09
-2.266032e-08,-4.6380784e-09
-2.480532e-08,-4.481195e-09
-2.4947127e-08,-3.906865e-09
-2.5866111e-08,-3.6939976e-09
-2.6550817e-08,-3.772249e-09
-2.5646543e-08,-3.596852e-09
-2.5456984e-08,-3.3718983e-09
-2.6561503e-08,-2.7788407e-09
-2.7796526e-08,-2.3578899e-09
-2.8496856e-08,-2.0154722e-09
-2.7902527e-08,-1.9616384e-09
-2.8571526e-08,-2.0991926e-09
-2.8131115e-08,-1.7695777e-09
-2.9769108e-08,-1.6330075e-09
-2.919821e-08,-1.360098e-09
-3.00284e-08,-1.0941796e-09
-2.9024e-08,-1.171663e-09
-3.0122067e-08,-7.8582885e-10
-2.8218796e-08,-5.6565164e-10
