#0_step_0,#0_step_1
2.5774096e-13,3.7580937e-12
4.2689238e-13,3.7240545e-12
1.0008493e-12,3.690959e-12
4.1729406e-12,3.658774e-12
7.1069166e-12,3.6274668e-12
9.616339e-12,3.5970064e-12
1.1403696e-11,3.5673634e-12
1.32651945e-11,3.5385093e-12
1.545632e-11,3.5104183e-12
1.7818106e-11,3.4830624e-12
1.9800493e-11,3.4564192e-12
2.1275015e-11,3.4304632e-12
2.2711527e-11,3.4051726e-12
2.4512867e-11,3.3805261e-12
2.5836906e-11,3.356502e-12
2.6416206e-11,3.3330808e-12
2.6642846e-11,3.3102431e-12
2.6622357e-11,3.287971e-12
2.6576802e-11,3.2662462e-12
2.6546852e-11,3.2450524e-12
2.6908809e-11,3.2243732e-12
2.7286274e-11,3.2041932e-12
2.8550976e-11,3.1844965e-12
2.9940803e-11,3.1652695e-12
3.1368182e-11,3.1464983e-12
3.2933344e-11,3.12817e-12
3.4866176e-11,3.1102707e-12
3.672427e-11,3.0927893e-12
3.846377e-11,3.0757129e-12
4.0546982e-11,3.059031e-12
4.2589033e-11,3.0427314e-12
4.475865e-11,3.0268039e-12
4.6753747e-11,3.0112384e-12
4.9369914e-11,2.9960257e-12
5.1957983e-11,2.9811548e-12
5.4595765e-11,2.9666176e-12
5.703244e-11,2.952405e-12
5.9293806e-11,2.9385084e-12
6.139276e-11,2.9249196e-12
6.340065e-11,2.91163e-12
6.526425e-11,2.8986332e-12
6.6804985e-11,2.8859202e-12
6.81515e-11,2.8734849e-12
6.935393e-11,2.8613197e-12
7.047407e-11,2.8494182e-12
7.1453995e-11,2.8377739e-12
7.232959e-11,2.8263795e-12
7.3094364e-11,2.8152305e-12
7.3765806e-11,2.8043197e-12
7.435062e-11,2.7936416e-12
7.500817e-11,2.7831914e-12
7.558491e-11,2.772963e-12
7.622377e-11,2.7629511e-12
7.678871e-11,2.7531512e-12
7.730035e-11,2.7435578e-12
7.799705e-11,2.7341664e-12
7.8799786e-11,2.7249726e-12
7.9891316e-11,2.7159711e-12
8.104138e-11,2.7071583e-12
8.2527e-11,2.6985302e-12
8.419448e-11,2.6900817e-12
8.594382e-11,2.6818096e-12
8.8157724e-11,2.6737096e-12
9.0517246e-11,2.665778e-12
9.420056e-11,2.6580114e-12
9.81651e-11,2.6504062e-12
1.02626865e-10,2.6429583e-12
1.077471e-10,2.6356653e-12
1.12781694e-10,2.6285235e-12
1.1810035e-10,2.6215293e-12
1.2363391e-10,2.6146797e-12
1.2869786e-10,2.6079724e-12
1.337507e-10,2.601404e-12
1.3858321e-10,2.5949711e-12
1.4337727e-10,2.5886717e-12
1.4799104e-10,2.5825026e-12
1.5242148e-10,2.5764614e-12
1.5649367e-10,2.5705451e-12
1.6019733e-10,2.5647518e-12
1.6352862e-10,-6.653484e-10
1.6661308e-10,-4.968838e-10
5.2719405e-11,-3.9449163e-10
8.504629e-11,-3.1663855e-10
1.0783742e-10,-8.46054e-10
1.2518911e-10,-7.633399e-10
1.3859622e-10,-1.4783557e-09
1.5251564e-10,-1.486919e-09
-2.8668273e-10,-1.1346447e-09
-1.2876508e-10,-8.8678875e-10
-4.7412724e-10,-1.0945215e-09
-2.5445598e-10,-1.52003e-09
-1.00211416e-10,-1.2808832e-09
1.5335183e-11,-1.6664028e-09
1.02514566e-10,-1.2813246e-09
1.8181669e-10,-1.0089782e-09
3.5259706e-10,-1.3021577e-09
3.7274522e-10,-1.5942208e-09
3.1287062e-10,-1.2445468e-09
2.4576713e-10,-1.1112541e-09
3.5072753e-10,-9.953112e-10
3.878855e-10,-1.778212e-09
6.8982053e-10,-1.7914845e-09
8.8079866e-10,-2.0012956e-09
1.0407066e-09,-1.9398319e-09
9.223983e-10,-1.8859097e-09
9.212938e-10,-2.3736357e-09
8.4239804e-10,-2.3784688e-09
6.1722816e-10,-2.394966e-09
6.768147e-10,-2.3423559e-09
7.285396e-10,-2.5348816e-09
9.216099e-10,-3.0265128e-09
7.406442e-10,-3.1579646e-09
7.0636413e-10,-3.5245002e-09
6.3270095e-10,-3.5197574e-09
2.8652575e-10,-3.180012e-09
1.8613791e-10,-2.7564613e-09
2.0441784e-10,-3.5316845e-09
1.760813e-10,-4.2313e-09
9.044958e-11,-4.4666657e-09
1.4370663e-11,-3.7656482e-09
2.2611201e-11,-4.2631294e-09
7.879346e-11,-5.205893e-09
5.1185844e-11,-5.6228493e-09
-1.0748551e-10,-4.928054e-09
-9.188779e-11,-5.022421e-09
-2.878021e-11,-5.3144706e-09
-3.1500823e-11,-5.215542e-09
-3.71594e-10,-5.3304796e-09
-3.7207296e-10,-5.5277782e-09
-3.99048e-10,-6.8277557e-09
-4.4574583e-10,-7.600876e-09
-4.7837795e-10,-7.637278e-09
-4.99055e-10,-8.300094e-09
-5.784929e-10,-8.896729e-09
-6.645592e-10,-8.9317345e-09
-5.825848e-10,-1.0356713e-08
-5.928878e-10,-1.0627324e-08
-5.763917e-10,-1.0779269e-08
-5.0258675e-10,-1.1828491e-08
-5.270899e-10,-1.2503861e-08
-6.5670985e-10,-1.1787965e-08
-5.144924e-10,-1.1189654e-08
-8.145634e-10,-1.1008182e-08
-8.2590856e-10,-1.1122749e-08
-9.2466895e-10,-1.0601736e-08
-9.874461e-10,-1.1863112e-08
-1.3511764e-09,-1.2893528e-08
-9.847378e-10,-1.3510525e-08
-1.026572e-09,-1.4227146e-08
-9.7188e-10,-1.3675025e-08
-7.89226e-10,-1.320813e-08
-9.492431e-10,-1.38419525e-08
-8.1257434e-10,-1.4043484e-08
-1.2164852e-09,-1.3604731e-08
-9.190525e-10,-1.3060675e-08
-9.578189e-10,-1.396559e-08
-1.1074385e-09,-1.2848143e-08
-9.165767e-10,-1.2576594e-08
-1.0297933e-09,-1.3002852e-08
-1.035459e-09,-1.1913519e-08
-1.5551109e-09,-1.156428e-08
-1.8409153e-09,-1.2681833e-08
-1.729725e-09,-1.19839285e-08
-1.6325504e-09,-1.13365335e-08
-2.07431e-09,-1.0513634e-08
-1.947988e-09,-1.0734847e-08
-1.9845365e-09,-1.0421246e-08
-1.9909205e-09,-9.910869e-09
-2.0123214e-09,-9.058169e-09
-2.1052455e-09,-8.290252e-09
-2.1357374e-09,-7.910552e-09
-2.0477273e-09,-6.8069426e-09
-2.1315112e-09,-6.7375234e-09
-1.910811e-09,-6.6897115e-09
-1.8962714e-09,-6.7111925e-09
-1.772529e-09,-6.4739654e-09
-1.9494897e-09,-5.8297447e-09
-2.0726987e-09,-5.491219e-09
-2.2396145e-09,-4.736954e-09
-2.2460822e-09,-4.6587645e-09
-2.3027549e-09,-4.5122768e-09
-1.9752993e-09,-3.529332e-09
-2.022793e-09,-2.8764737e-09
-1.9797368e-09,-2.592261e-09
-1.9600965e-09,-2.6200222e-09
-2.0541107e-09,-2.7142995e-09
-2.0524897e-09,-2.664593e-09
-2.1188196e-09,-2.0565e-09
-2.0320126e-09,-1.5715885e-09
-2.135222e-09,-1.181291e-09
-1.9040256e-09,-1.4047853e-09
-1.6144291e-09,-1.0420101e-09
-1.6394249e-09,-7.564684e-10
-1.6165643e-09,-8.392096e-10
-1.3628749e-09,-5.941606e-10
-1.253043e-09,-4.023874e-10
-1.1926288e-09,-2.5199173e-10
-1.0648907e-09,-1.341652e-10
-1.0895911e-09,-4.2262485e-11
-9.3112085e-10,-1.936447e-10
-7.5794776e-10,-8.979075e-11
-7.267301e-10,-9.498291e-12
-7.3456086e-10,5.286182e-11
-4.6893395e-10,1.014807e-10
-4.5756696e-10,1.3908716e-10
-3.9469375e-10,1.6804351e-10
-3.343495e-10,1.9025866e-10
-3.1839992e-10,2.0717845e-10
-1.6427656e-10,2.1999713e-10
-1.266287e-10,2.2961846e-10
-1.7228399e-10,2.3673694e-10
-3.505946e-10,2.419019e-10
-2.2111793e-10,2.4555122e-10
-1.8636456e-10,2.4803673e-10
-1.15039235e-10,2.4960062e-10
-6.2774e-11,2.5047303e-10
-3.4812108e-11,2.5080957e-10
1.2889176e-11,2.507195e-10
-1.1903045e-11,2.5030544e-10
5.6891138e-11,2.4964816e-10
3.005094e-11,2.4879832e-10
5.566946e-11,2.477866e-10
5.1789878e-11,2.4666813e-10
5.3794913e-11,2.454449e-10
5.4201678e-11,2.441458e-10
6.103304e-11,2.4278018e-10
3.0135606e-11,2.4136113e-10
1.1083562e-11,2.3990537e-10
1.4047878e-10,2.3842656e-10
6.528137e-11,2.3691776e-10
1.0567293e-10,2.353839e-10
5.6410376e-11,2.338468e-10
4.608351e-11,2.3229627e-10
5.1180206e-11,2.307288e-10
1.1083075e-10,2.291463e-10
9.736645e-11,2.2755064e-10
8.0542226e-11,2.2594311e-10
1.0532279e-10,2.2432485e-10
6.9742184e-11,2.2269679e-10
5.7316096e-11,2.210598e-10
5.299623e-11,2.1941944e-10
1.5901588e-10,2.1777113e-10
1.6025995e-11,2.1612837e-10
7.572824e-11,2.1448714e-10
1.0335531e-10,2.1284252e-10
1.0313245e-10,2.112021e-10
8.880997e-11,2.095607e-10
1.6100984e-10,2.0791616e-10
1.4460379e-10,2.0627008e-10
1.7194933e-10,2.0462101e-10
1.4542453e-10,2.0297888e-10
1.1724674e-10,2.013476e-10
1.6767578e-10,1.9971738e-10
1.763806e-10,1.9808988e-10
1.5329839e-10,1.9645978e-10
1.7625199e-10,1.9482338e-10
1.7899451e-10,1.9319532e-10
1.4504013e-10,1.9156124e-10
1.7038841e-10,1.8992181e-10
1.7204961e-10,1.8828346e-10
1.719991e-10,1.8664045e-10
1.7154377e-10,1.8500125e-10
1.7084925e-10,1.8335801e-10
1.699893e-10,1.8171913e-10
1.6901239e-10,1.8007681e-10
1.6795253e-10,1.7843163e-10
1.6683427e-10,1.7678423e-10
1.6567525e-10,1.75135e-10
1.6448856e-10,1.7348449e-10
1.6328368e-10,1.7183312e-10
1.6206766e-10,1.7018141e-10
1.6084567e-10,1.6852973e-10
1.5962148e-10,1.6687854e-10
1.5839785e-10,1.6522825e-10
1.5717679e-10,1.6357929e-10
1.5595969e-10,1.6193209e-10
1.5474755e-10,1.6028703e-10
1.5354108e-10,1.5864454e-10
1.5234071e-10,1.5700498e-10
1.5114679e-10,1.5536876e-10
1.4995943e-10,1.5373616e-10
1.4877874e-10,1.5210769e-10
1.4760468e-10,1.5048365e-10
1.4643729e-10,1.4886439e-10
1.4527653e-10,1.4725027e-10
1.441223e-10,1.4564161e-10
1.4297448e-10,1.4403878e-10
1.4183307e-10,1.424421e-10
1.4069798e-10,1.408519e-10
1.395691e-10,1.392685e-10
1.3844638e-10,1.3769214e-10
1.3732973e-10,1.361232e-10
1.3621912e-10,1.3456199e-10
1.3511454e-10,1.3300873e-10
1.3401594e-10,1.3146373e-10
1.3292324e-10,1.2992728e-10
1.3183649e-10,1.2839964e-10
1.307556e-10,1.2688103e-10
1.2968063e-10,1.2537171e-10
1.2861151e-10,1.2387198e-10
1.275483e-10,1.2238202e-10
1.2649104e-10,1.2090204e-10
1.2543969e-10,1.1943231e-10
1.2439426e-10,1.1797299e-10
1.2335478e-10,1.1652432e-10
1.2232132e-10,1.1508642e-10
1.2129386e-10,1.1365949e-10
1.2027244e-10,1.1224377e-10
1.1925713e-10,1.1083937e-10
1.1824798e-10,1.0944644e-10
