#0_step_0,#0_step_1
-3.02784e-11,-1.0262989e-10
-3.0280396e-11,-1.0264217e-10
-3.0282464e-11,-1.0256933e-10
-3.0284594e-11,-1.02407215e-10
-3.0286773e-11,-1.0215338e-10
-3.0289014e-11,-1.01807104e-10
-3.0291318e-11,-1.0136936e-10
-3.0293677e-11,-1.0084285e-10
-3.0296102e-11,-1.002318e-10
-3.0298587e-11,-9.954212e-11
-3.0301126e-11,-9.878087e-11
-3.0303714e-11,-9.7956344e-11
-3.0306375e-11,-9.707792e-11
-3.0309085e-11,-9.6155896e-11
-3.0311854e-11,-9.520129e-11
-3.0314678e-11,-9.422581e-11
-3.0317557e-11,-9.324166e-11
-3.0320493e-11,-9.226127e-11
-3.0323483e-11,-9.129712e-11
-3.032653e-11,-9.0361274e-11
-3.0329635e-11,-8.9465005e-11
-3.033279e-11,-8.8618377e-11
-3.0336e-11,-8.782977e-11
-3.0339266e-11,-8.710556e-11
-3.0342583e-11,-8.644987e-11
-3.034595e-11,-8.586448e-11
-3.034938e-11,-8.5348714e-11
-3.0352852e-11,-8.48996e-11
-3.0356377e-11,-8.451194e-11
-3.0359958e-11,-8.417844e-11
-3.0363587e-11,-8.3889895e-11
-3.0367275e-11,-8.3635356e-11
-3.0371004e-11,-8.340236e-11
-3.037479e-11,-8.317715e-11
-3.0378627e-11,-8.294489e-11
-3.038251e-11,-8.269009e-11
-3.0386443e-11,-8.239704e-11
-3.0390423e-11,-8.205049e-11
-3.0394458e-11,-8.163637e-11
-3.039854e-11,-8.114236e-11
-3.040266e-11,-8.055856e-11
-3.040684e-11,-7.987766e-11
-3.041107e-11,-7.909484e-11
-3.041534e-11,-7.8207364e-11
-3.0419663e-11,-7.7214415e-11
-3.0424028e-11,-7.611678e-11
-3.0428438e-11,-7.491707e-11
-3.04329e-11,-7.362021e-11
-3.043741e-11,-7.223425e-11
-3.044196e-11,-7.077142e-11
-3.0446555e-11,-6.924873e-11
-3.0451197e-11,-6.7687723e-11
-3.045588e-11,-6.6113094e-11
-3.0460613e-11,-6.455013e-11
-3.046539e-11,-6.302209e-11
-3.0470213e-11,-6.154833e-11
-3.047507e-11,-6.01441e-11
-3.0479983e-11,-5.882156e-11
-3.048493e-11,-5.7591466e-11
-3.0489927e-11,-5.646414e-11
-3.049496e-11,-5.544949e-11
-3.0500037e-11,-5.4555672e-11
-3.0505157e-11,-5.3787676e-11
-3.051032e-11,-5.314601e-11
-3.0515524e-11,-5.2626487e-11
-3.0520766e-11,-5.2220582e-11
-3.052605e-11,-5.1916183e-11
-3.053138e-11,-5.1697802e-11
-3.0536747e-11,-5.154615e-11
-3.0542152e-11,-5.1437844e-11
-3.05476e-11,-5.1346614e-11
-3.0553095e-11,-5.1246996e-11
-3.0558618e-11,-5.111956e-11
-3.0564183e-11,-5.095473e-11
-3.056979e-11,-5.075278e-11
-3.057543e-11,-5.0521382e-11
-3.0581114e-11,-5.0272224e-11
-3.058683e-11,-5.0018194e-11
-3.059259e-11,-4.977142e-11
-3.059839e-11,-4.9541822e-11
-3.060422e-11,-4.933586e-11
-3.061009e-11,-4.9155447e-11
-3.0616e-11,-4.8997462e-11
-3.0621942e-11,-4.8853525e-11
-3.0627924e-11,-4.8711653e-11
-3.063394e-11,-4.856236e-11
-3.0639994e-11,-4.8403954e-11
-3.0646083e-11,-4.8241532e-11
-3.065221e-11,-4.8082937e-11
-3.065837e-11,-4.79347e-11
-3.0664565e-11,-4.7799337e-11
-3.0670792e-11,-4.767403e-11
-3.067706e-11,-4.7549565e-11
-3.0683362e-11,-4.7409725e-11
-3.0689687e-11,-4.7233727e-11
-3.069606e-11,-4.7004133e-11
-3.070246e-11,-4.6714705e-11
-3.0708897e-11,-4.637149e-11
-3.0715357e-11,-4.598854e-11
-3.0721863e-11,-4.558252e-11
-3.0728396e-11,-4.5168994e-11
-3.0734963e-11,-4.4760827e-11
-3.0741562e-11,-4.4368002e-11
-3.074819e-11,-4.3997934e-11
-3.0754857e-11,-4.3656048e-11
-3.0761546e-11,-4.334579e-11
-3.0768273e-11,-4.306877e-11
-3.0775032e-11,-4.2825223e-11
-3.0781818e-11,-4.2614585e-11
-3.0788642e-11,-4.2436107e-11
-3.079549e-11,-4.2288822e-11
-3.080237e-11,-4.2171138e-11
-3.080928e-11,-4.208029e-11
-3.081622e-11,-4.2012137e-11
-3.0823195e-11,-4.1961472e-11
-3.0830196e-11,-4.192263e-11
-3.083723e-11,-4.1890158e-11
-3.0844282e-11,-4.1859193e-11
-3.085138e-11,-4.1825654e-11
-3.08585e-11,-4.1786203e-11
-3.0865643e-11,-4.1738293e-11
-3.0872815e-11,-4.1680135e-11
-3.0880017e-11,-4.1610614e-11
-3.088725e-11,-4.1529325e-11
-3.0894506e-11,-4.143668e-11
-3.090179e-11,-4.133415e-11
-3.090911e-11,-4.1224312e-11
-3.0916453e-11,-4.1110625e-11
-3.0923823e-11,-4.0996796e-11
-3.0931212e-11,-4.0886138e-11
-3.093864e-11,-4.078138e-11
-3.094609e-11,-4.06847e-11
-3.0953566e-11,-4.0597914e-11
-3.0961067e-11,-4.0522353e-11
-3.0968596e-11,-4.0458574e-11
-3.097615e-11,-4.0406147e-11
-3.0983726e-11,-4.036365e-11
-3.0991328e-11,-4.0328844e-11
-3.099896e-11,-4.0299042e-11
-3.1006614e-11,-4.0271574e-11
-3.10143e-11,-4.024405e-11
-3.1022004e-11,-4.0214658e-11
-3.102973e-11,-4.0182174e-11
-3.1037485e-11,-4.014599e-11
-3.1045267e-11,-4.0105926e-11
-3.1053066e-11,-4.0062127e-11
-3.1060887e-11,-4.0014898e-11
-3.1068745e-11,-3.996468e-11
-3.1076617e-11,-3.9911914e-11
-3.1084517e-11,-3.9857014e-11
-3.1092434e-11,-3.9800382e-11
-3.1100376e-11,-3.9742352e-11
-3.1108345e-11,-3.9683215e-11
-3.1116325e-11,-3.9623232e-11
-3.1124336e-11,-3.956259e-11
-3.1132378e-11,-3.9501465e-11
-3.114043e-11,-3.9439986e-11
-3.114851e-11,-3.937828e-11
-3.115661e-11,-3.9316418e-11
-3.116473e-11,-3.9254495e-11
-3.1172873e-11,-3.9192573e-11
-3.118104e-11,-3.9130678e-11
-3.118923e-11,-3.9068873e-11
-3.1197437e-11,-3.9007186e-11
-3.1205667e-11,-3.894563e-11
-3.121391e-11,-3.8884257e-11
-3.122218e-11,-3.8823073e-11
-3.1230466e-11,-3.8762087e-11
-3.1238782e-11,-3.8701313e-11
-3.1247113e-11,-3.8640778e-11
-3.1255463e-11,-3.8580493e-11
-3.1263832e-11,-3.8520426e-11
-3.1272224e-11,-3.8460634e-11
-3.128063e-11,-3.8401105e-11
-3.128906e-11,-3.8341847e-11
-3.1297513e-11,-3.8282856e-11
-3.130598e-11,-3.8224143e-11
-3.131446e-11,-3.8165717e-11
-3.1322965e-11,-3.8107576e-11
-3.13315e-11,-3.804972e-11
-3.1340038e-11,-3.7992158e-11
-3.1348604e-11,-3.7934895e-11
-3.135718e-11,-3.787792e-11
-3.1365778e-11,-3.7821257e-11
-3.1374396e-11,-3.7764892e-11
-3.1383028e-11,-3.7708822e-11
-3.1391677e-11,-3.7653065e-11
-3.140035e-11,-3.7597602e-11
-3.1409035e-11,-3.7542462e-11
-3.141774e-11,-3.7487617e-11
-3.1426466e-11,-3.743309e-11
-3.1435195e-11,-3.7378867e-11
-3.2875896e-11,-3.7324963e-11
-3.4165257e-11,-3.727136e-11
-3.5611132e-11,-3.721807e-11
-3.5470564e-11,-3.71651e-11
-3.645814e-11,-3.7112435e-11
-3.8097518e-11,-3.706008e-11
-4.0344218e-11,-3.7008046e-11
-4.2322555e-11,-3.6956334e-11
-4.248534e-11,-3.6904917e-11
-4.3059764e-11,-3.685382e-11
-4.6047884e-11,-3.680303e-11
-4.8475585e-11,-3.6752556e-11
-5.143256e-11,-3.67024e-11
-5.363101e-11,-3.6652556e-11
-5.5724547e-11,-3.660302e-11
-6.155259e-11,-3.6553788e-11
-6.851135e-11,-3.6504876e-11
-8.256663e-11,-3.6456265e-11
-9.375052e-11,-3.6407977e-11
-1.1117203e-10,-3.6359988e-11
-1.3561056e-10,-3.6312307e-11
-1.6006121e-10,-3.6264932e-11
-1.7813466e-10,-3.621787e-11
-1.9270414e-10,-3.6171115e-11
-2.1429056e-10,-3.612466e-11
-2.2767002e-10,-3.607851e-11
-2.666521e-10,-3.603267e-11
-2.957864e-10,-3.5987123e-11
-3.2919886e-10,-3.594188e-11
-3.5497433e-10,-3.589695e-11
-4.0551962e-10,-3.5852314e-11
-4.3815937e-10,-3.5807975e-11
-4.77002e-10,-3.5763933e-11
-5.172268e-10,-3.5720187e-11
-5.636704e-10,-3.5676746e-11
-6.000217e-10,-3.5633597e-11
-6.4534655e-10,-3.5590732e-11
-6.784323e-10,-3.5548165e-11
-7.049536e-10,-3.5505893e-11
-7.199438e-10,-3.5463913e-11
-7.118523e-10,-3.542222e-11
-6.7636896e-10,-3.5380816e-11
-6.118972e-10,-3.5339703e-11
-5.1902405e-10,-3.5298868e-11
-3.862873e-10,-3.525833e-11
-2.399751e-10,-3.521807e-11
-9.6128897e-11,-3.5178093e-11
4.7597308e-11,-3.51384e-11
1.7524454e-10,-3.5098983e-11
2.9118324e-10,-3.505985e-11
4.1399914e-10,-3.5020993e-11
5.240726e-10,-3.4982413e-11
6.1371297e-10,-3.4944114e-11
6.934532e-10,-3.4906085e-11
7.494812e-10,-3.486833e-11
7.850474e-10,-3.4830857e-11
8.14139e-10,-3.479364e-11
8.3854046e-10,-3.4756704e-11
8.3641194e-10,-3.4720025e-11
8.363571e-10,-3.4683624e-11
8.2274704e-10,-3.4647483e-11
8.011113e-10,-3.4611612e-11
7.760774e-10,-3.4576005e-11
7.439264e-10,-3.454066e-11
7.032507e-10,-3.4505572e-11
6.5870964e-10,-3.447075e-11
6.0962e-10,-3.4436176e-11
5.590072e-10,-3.4401874e-11
5.0423365e-10,-3.436782e-11
4.4835785e-10,-3.4334022e-11
3.90944e-10,-3.4300486e-11
3.360388e-10,-3.4267193e-11
2.7913244e-10,-3.4234164e-11
2.2385874e-10,-3.420137e-11
1.733009e-10,-3.4168834e-11
1.2218683e-10,-3.4136548e-11
7.2741826e-11,-3.41045e-11
2.617001e-11,-3.4072706e-11
-1.9067883e-11,-3.4041152e-11
-6.090178e-11,-3.400984e-11
-9.899449e-11,-3.397877e-11
-1.361663e-10,-3.394795e-11
-1.6966602e-10,-3.391736e-11
-2.007114e-10,-3.3887008e-11
-2.2907114e-10,-3.3856896e-11
-2.5494315e-10,-3.382701e-11
-2.7860056e-10,-3.3797375e-11
-3.0130373e-10,-3.3767968e-11
-3.1987285e-10,-3.373879e-11
