#0_step_0,#0_step_1
-3.0277354e-11,-1.04942235e-10
-3.0279855e-11,-1.0505141e-10
-3.0282422e-11,-1.0525218e-10
-3.0285045e-11,-1.055324e-10
-3.0287724e-11,-1.0586767e-10
-3.0290465e-11,-1.06220824e-10
-3.0293257e-11,-1.0654342e-10
-3.029611e-11,-1.06778794e-10
-3.0299017e-11,-1.06867036e-10
-3.0301983e-11,-1.06750886e-10
-3.0304998e-11,-1.0638197e-10
-3.0308065e-11,-1.057265e-10
-3.031119e-11,-1.04769346e-10
-3.0314373e-11,-1.0351531e-10
-3.0317613e-11,-1.01986995e-10
-3.0320895e-11,-1.00220734e-10
-3.032424e-11,-9.826291e-11
-3.0327636e-11,-9.6168205e-11
-3.033109e-11,-9.399849e-11
-3.0334586e-11,-9.18203e-11
-3.033813e-11,-8.9699394e-11
-3.0341736e-11,-8.769361e-11
-3.0345396e-11,-8.584664e-11
-3.03491e-11,-8.418477e-11
-3.035286e-11,-8.271627e-11
-3.035667e-11,-8.143247e-11
-3.0360527e-11,-8.0309065e-11
-3.0364426e-11,-7.9306485e-11
-3.036838e-11,-7.837193e-11
-3.037239e-11,-7.74465e-11
-3.037644e-11,-7.647559e-11
-3.038055e-11,-7.541927e-11
-3.0384695e-11,-7.425517e-11
-3.0388893e-11,-7.2973225e-11
-3.039315e-11,-7.157093e-11
-3.039744e-11,-7.0051034e-11
-3.0401782e-11,-6.841655e-11
-3.0406167e-11,-6.6665194e-11
-3.0410598e-11,-6.4788785e-11
-3.041508e-11,-6.277958e-11
-3.0419604e-11,-6.0642165e-11
-3.042418e-11,-5.8405496e-11
-3.04288e-11,-5.6126874e-11
-3.0433454e-11,-5.3883585e-11
-3.0438162e-11,-5.1757952e-11
-3.044292e-11,-4.982359e-11
-3.044771e-11,-4.813684e-11
-3.045255e-11,-4.6733683e-11
-3.0457435e-11,-4.5628643e-11
-3.0462362e-11,-4.4814947e-11
-3.046733e-11,-4.426708e-11
